Day fraction since midnight on 	pH probe (pH)
0.640529264	3.790127277
0.640540854	3.754921675
0.640552422	3.808046818
0.640563989	3.988091946
0.640575568	4.936770916
0.640587158	3.962802887
0.640598725	4.231851578
0.640610293	4.429056644
0.64062186	4.484815121
0.64063345	4.637433529
0.640645017	4.649429798
0.640656585	5.77315712
0.640668175	7.089911938
0.640679742	7.090295792
0.640691333	7.090263367
0.6407029	7.090367317
0.640714456	7.089774609
0.640726046	7.089986801
0.640737613	7.090184212
0.640749181	7.089983463
0.640760771	7.090191364
0.640772338	7.089578152
0.640783905	7.090126991
0.640795496	7.090302944
0.640807052	7.090564728
0.640818642	7.09043932
0.640830209	7.090471268
0.640841776	7.090065956
0.640853367	7.090166569
0.640864934	7.089882851
0.640876501	7.090080738
0.640888092	7.089915276
0.640899647	7.090004921
0.640911238	7.089943886
0.640922805	7.089900971
0.640934395	7.090041161
0.640945963	7.08944273
0.64095753	7.089545727
0.640969097	7.089564323
0.640980664	7.089775085
0.640992243	7.089706898
0.641003834	7.089893818
0.641015401	7.090040684
0.641026968	7.090130806
0.641038559	7.090241909
0.641050126	7.089621544
0.641061693	7.090033531
0.64107326	7.09034586
0.641084839	7.090123177
0.641096418	7.090188026
0.641107985	7.089882851
0.641119576	7.089901447
0.641131154	7.089993477
0.641142722	7.090493202
0.641154289	7.089757919
0.641165856	7.089944363
0.641177435	7.089835167
0.641189025	7.090141296
0.641200593	7.089886665
0.64121216	7.090213299
0.64122375	7.090058804
0.641235318	7.090493202
0.641246885	7.090095043
0.641258452	7.090643883
0.641270031	7.090446472
0.641281621	7.089753628
0.641293189	7.089643002
0.641304756	7.090188026
0.641316323	7.089872837
0.641327914	7.089484692
0.641339504	7.089775562
0.641351048	7.089635372
0.641362627	7.089907646
0.641374217	7.089567661
0.641385785	7.088906765
0.641397352	7.08941412
0.641408919	7.089126587
0.641420509	7.089044094
0.641432077	7.089528084
0.641443644	7.088864327
0.641455246	7.089429855
0.641466813	7.089595795
0.64147838	7.089452744
0.641489971	7.08973217
0.641501515	7.089212418
0.641513105	7.089847565
0.641524673	7.089502811
0.64153624	7.090102196
0.641547819	7.089498043
0.641559409	7.089358807
0.641570976	7.089391232
0.641582544	7.089764595
0.641594111	7.089840412
0.641605701	7.089237213
0.641617292	7.089600086
0.641628859	7.089560032
0.641640415	7.089502335
0.641651982	7.089567661
0.641663572	7.088620663
0.641675139	7.089492321
0.641686707	7.089571476
0.641698297	7.090252399
0.641709887	7.090177059
0.641721432	7.089793682
0.64173301	7.08955574
0.641744578	7.089660645
0.641756168	7.089854717
0.641767747	7.089706421
0.641779303	7.08935833
0.641790893	7.089911461
0.641802472	7.089828491
0.641814039	7.089553356
0.641825606	7.088907719
0.641837174	7.088815212
0.641848764	7.089169025
0.641860331	7.088929176
0.641871898	7.08943224
0.641883489	7.089186192
0.641895056	7.089499474
0.641906623	7.089682579
0.641918202	7.089782238
0.641929769	7.089753628
0.64194136	7.088828564
0.641952927	7.089643002
0.641964494	7.089682579
0.641976085	7.089983463
0.641987652	7.089646339
0.641999219	7.088982105
0.64201081	7.089614391
0.642022377	7.089384079
0.642033967	7.089775562
0.642045535	7.089481831
0.64205709	7.088904858
0.642068681	7.089563847
0.642080248	7.089470387
0.642091815	7.089811325
0.642103406	7.089046955
0.642114973	7.089140892
0.64212654	7.089908123
0.64213813	7.089998245
0.642149686	7.090349197
0.642161277	7.090202332
0.642172844	7.089528084
0.642184411	7.089711189
0.642196001	7.089377403
0.642207569	7.089846611
0.642219136	7.088534355
0.642230726	7.089369774
0.642242305	7.089638233
0.642253872	7.089600086
0.64226544	7.089735508
0.642277007	7.088781357
0.642288597	7.089165688
0.642300165	7.08898592
0.642311732	7.089507103
0.642323299	7.089480877
0.642334878	7.089293957
0.642346468	7.08935976
0.642358036	7.08976078
0.642369603	7.089668274
0.642381193	7.088838577
0.64239276	7.089166641
0.642404328	7.089412689
0.642415895	7.089883328
0.642427474	7.090022564
0.642439064	7.08911562
0.642450631	7.089448452
0.642462199	7.089851379
0.642473789	7.089717388
0.642485356	7.089886665
0.642496924	7.089118958
0.642508491	7.089836597
0.64252007	7.089788914
0.64253166	7.089682579
0.642543227	7.089524269
0.642554795	7.088552475
0.642566385	7.089549065
0.642577952	7.089570999
0.642589519	7.090055466
0.642601087	7.090156078
0.642612666	7.089774609
0.642624256	7.089477539
0.642635823	7.089374065
0.64264739	7.08981514
0.642658958	7.089148045
0.642670548	7.089186668
0.642682115	7.089664459
0.642693706	7.089617252
0.642705261	7.089875698
0.642716852	7.088814259
0.642728419	7.089226246
0.642739986	7.089094639
0.642751554	7.088924885
0.642763144	7.0899086
0.642774711	7.089212418
0.642786278	7.089424133
0.642797857	7.089688301
0.642809448	7.089890003
0.642821015	7.090008736
0.642832582	7.08889246
0.642844149	7.089507103
0.64285574	7.089602947
0.642867307	7.08981514
0.642878874	7.089108467
0.642890453	7.089301109
0.642902044	7.090019703
0.642913611	7.089743137
0.642925201	7.089585304
0.642936768	7.089425564
0.642948336	7.088968754
0.642959903	7.089484692
0.64297147	7.089398861
0.642983049	7.089839459
0.642994616	7.08924818
0.643006207	7.089387894
0.643017774	7.089139938
0.643029341	7.089972973
0.643040932	7.090169907
0.643052499	7.090188026
0.643064066	7.089402199
0.643075645	7.089767456
0.643087212	7.090120316
0.643098803	7.08976841
0.64311037	7.08923769
0.643121937	7.089424133
0.643133528	7.089356422
0.643145095	7.089542866
0.643156662	7.089254856
0.643168264	7.088846684
0.643179808	7.089148045
0.643191398	7.088393688
0.643202966	7.089517593
0.643214533	7.089272976
0.643226123	7.088964939
0.643237691	7.089643002
0.643249258	7.089610577
0.643260837	7.089441299
0.643272404	7.08917284
0.643283994	7.089485169
0.643295562	7.089517117
0.643307129	7.089517593
0.643318719	7.08955574
0.643330287	7.088968754
0.643341854	7.089502811
0.643353433	7.089559555
0.643365	7.089485169
0.64337659	7.089969158
0.643388157	7.089004993
0.643399725	7.089553356
0.643411315	7.089374065
0.643422882	7.089943886
0.643434449	7.089309216
0.643446039	7.088997364
0.643457607	7.089478016
0.643469174	7.089664459
