Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()					Time	Cum Time	Inlet	Outlet
0.712621343	10.20242405	10.20242405	116264.4688	7.489999771	4.585000038	0.500526316	0.805894737					61570.48406	4460.098239	4.585000038	7.489999771
0.712679203	10.20248413	10.20248413	116263.6328	7.300000191	4.605999947	0.500526316	0.805894737					61575.48314	4465.097317	4.605999947	7.300000191
0.712737086	10.20238304	10.20238304	116262.9688	7.110000134	4.610000134	0.500526316	0.805894737					61580.48423	4470.098409	4.610000134	7.110000134
0.712794941	10.20239353	10.20239353	116262.8281	6.980000019	4.558000088	0.500526316	0.805894737					61585.48293	4475.097107	4.558000088	6.980000019
0.712852825	10.20262241	10.20262241	116265.3984	7.039999962	4.558000088	0.500526316	0.805894737					61590.48409	4480.098267	4.558000088	7.039999962
0.712910686	10.2024498	10.2024498	116250.8828	7.059999943	4.614999771	0.500526316	0.805894737					61595.4833	4485.097475	4.614999771	7.059999943
0.712968662	10.20233917	10.20233917	116256.5703	6.980000019	4.572999954	0.500526316	0.805894737					61600.4924	4490.106575	4.572999954	6.980000019
0.713026421	10.20241642	10.20241642	116234.6094	6.940000057	4.488999844	0.500526316	0.805894737					61605.48279	4495.09697	4.488999844	6.940000057
0.713084296	10.2023201	10.2023201	116228.6016	6.980000019	4.404999733	0.500526316	0.805894737					61610.48318	4500.097361	4.404999733	6.980000019
0.713142172	10.20243835	10.20243835	116230.8203	7.090000153	4.381000042	0.500526316	0.805894737					61615.48366	4505.097839	4.381000042	7.090000153
0.713200032	10.20232296	10.20232296	116218.9766	7.170000076	4.367000103	0.500526316	0.805894737					61620.48279	4510.096969	4.367000103	7.170000076
0.7132579	10.2024374	10.2024374	116241.8438	7.210000038	4.394000053	0.500526316	0.805894737					61625.48253	4515.096704	4.394000053	7.210000038
0.713315772	10.2024765	10.2024765	116224.0313	7.159999847	4.418000221	0.500526316	0.805894737					61630.48273	4520.096905	4.418000221	7.159999847
0.713373653	10.20244694	10.20244694	116221.6016	7.059999943	4.387000084	0.500526316	0.805894737					61635.48365	4525.097823	4.387000084	7.059999943
0.713431511	10.20246506	10.20246506	116211.4922	6.929999828	4.370999813	0.500526316	0.805894737					61640.48258	4530.096763	4.370999813	6.929999828
0.713489507	10.20230961	10.20230961	116202.9375	6.789999962	4.415999889	0.500526316	0.805894737					61645.49337	4535.107548	4.415999889	6.789999962
0.713547267	10.20246887	10.20246887	116215.2031	6.699999809	4.43900013	0.500526316	0.805894737					61650.48386	4540.098038	4.43900013	6.699999809
0.713605246	10.20251179	10.20251179	116206.1563	6.690000057	4.383999825	0.500526316	0.805894737					61655.49326	4545.107441	4.383999825	6.690000057
0.71366311	10.20243645	10.20243645	116199.5547	6.75	4.34800005	0.500526316	0.805894737					61660.49268	4550.106856	4.34800005	6.75
0.713720975	10.20237446	10.20237446	116182.25	6.840000153	4.388000011	0.500526316	0.805894737					61665.49222	4555.106401	4.388000011	6.840000153
0.713778866	10.20241642	10.20241642	116193.5625	6.849999905	4.396999836	0.500526316	0.805894737					61670.49398	4560.108157	4.396999836	6.849999905
0.713836723	10.20247173	10.20247173	116199.3125	6.829999924	4.407000065	0.500526316	0.805894737					61675.49282	4565.107002	4.407000065	6.829999924
0.713894586	10.2024374	10.2024374	116165.4297	6.820000172	4.383999825	0.500526316	0.805894737					61680.49225	4570.106426	4.383999825	6.820000172
0.713952353	10.20236492	10.20236492	116188.1719	6.829999924	4.353000164	0.500526316	0.805894737					61685.48327	4575.097452	4.353000164	6.829999924
0.714010328	10.20249081	10.20249081	116165.1172	6.920000076	4.321000099	0.500526316	0.805894737					61690.4923	4580.106474	4.321000099	6.920000076
0.714068218	10.20231247	10.20231247	116170.4063	7	4.322000027	0.500526316	0.805894737					61695.49402	4585.108196	4.322000027	7
0.714126071	10.20245075	10.20245075	116146.5859	7.059999943	4.285999775	0.500526316	0.805894737					61700.49253	4590.106704	4.285999775	7.059999943
0.71418395	10.202384	10.202384	116159.0078	7.119999886	4.243000031	0.500526316	0.805894737					61705.49328	4595.107458	4.243000031	7.119999886
0.714241813	10.20251179	10.20251179	116157.8359	7.150000095	4.243000031	0.500526316	0.805894737					61710.49261	4600.106787	4.243000031	7.150000095
0.714299682	10.20262146	10.20262146	116147.2422	7.159999847	4.246999741	0.500526316	0.805894737					61715.49254	4605.10672	4.246999741	7.159999847
0.714357566	10.20248318	10.20248318	116150.5547	7.139999867	4.277999878	0.500526316	0.805894737					61720.49367	4610.107846	4.277999878	7.139999867
0.714415433	10.20231819	10.20231819	116127.5625	7.070000172	4.347000122	0.500526316	0.805894737					61725.49338	4615.107555	4.347000122	7.070000172
