Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()				
0.667628973	10.20258045	10.20258045	110786.2109	1.860000014	6.71999979	0.500526316	0.805894737	57668.14544	485.0026675	1.690000057	6.743000031
0.667686904	10.20245647	10.20245647	110786.3828	1.899999976	6.729000092	0.500526316	0.805894737	57673.14347	490.0007002	1.74000001	6.725999832
0.667744771	10.20242882	10.20242882	110795.2422	1.940000057	6.736000061	0.500526316	0.805894737	57678.14447	495.001705	1.789999962	6.704999924
0.667802563	10.20244503	10.20244503	110801.7578	1.99000001	6.704999924	0.500526316	0.805894737	57683.14322	500.0004547	1.830000043	6.702000141
0.667860542	10.20242977	10.20242977	110816.3281	2.039999962	6.684000015	0.500526316	0.805894737	57688.14854	505.0057709	1.860000014	6.71999979
0.667918398	10.20247364	10.20247364	110803.5313	2.079999924	6.679999828	0.500526316	0.805894737	57693.1482	510.0054278	1.899999976	6.729000092
0.667976178	10.20245457	10.20245457	110833.8047	2.119999886	6.684999943	0.500526316	0.805894737	57698.14144	514.9986739	1.940000057	6.736000061
0.668034103	10.20242691	10.20242691	110816.1797	2.160000086	6.702000141	0.500526316	0.805894737	57703.1508	520.0080336	1.99000001	6.704999924
0.668091968	10.20245457	10.20245457	110817.3906	2.190000057	6.717999935	0.500526316	0.805894737	57708.14959	525.0068179	2.039999962	6.684000015
0.668149843	10.2025919	10.2025919	110827.2344	2.230000019	6.698999882	0.500526316	0.805894737	57713.14181	529.9990358	2.079999924	6.679999828
0.668207714	10.20253944	10.20253944	110827.5391	2.269999981	6.68599987	0.500526316	0.805894737	57718.14652	535.0037472	2.119999886	6.684999943
0.668265537	10.20241165	10.20241165	110832.3594	2.309999943	6.65899992	0.500526316	0.805894737	57723.14604	540.0032659	2.160000086	6.702000141
0.668323419	10.2024231	10.2024231	110839.7344	2.359999895	6.679999828	0.500526316	0.805894737	57728.14644	545.0036746	2.190000057	6.717999935
0.668381271	10.202425	10.202425	110840.2656	2.400000095	6.677000046	0.500526316	0.805894737	57733.14646	550.0036944	2.230000019	6.698999882
0.668439154	10.20240974	10.20240974	110853.6094	2.430000067	6.675000191	0.500526316	0.805894737	57738.14243	554.9996621	2.269999981	6.68599987
0.668497014	10.20244694	10.20244694	110845.8125	2.480000019	6.669000149	0.500526316	0.805894737	57743.1434	560.0006323	2.309999943	6.65899992
0.668554991	10.2025156	10.2025156	110847.5469	2.519999981	6.654999733	0.500526316	0.805894737	57748.14185	564.9990797	2.359999895	6.679999828
0.668612847	10.20260715	10.20260715	110870.7344	2.549999952	6.650000095	0.500526316	0.805894737	57753.1429	570.0001277	2.400000095	6.677000046
0.668670718	10.20249081	10.20249081	110847.1797	2.579999924	6.631000042	0.500526316	0.805894737	57758.14198	574.9992144	2.430000067	6.675000191
0.668728604	10.20249081	10.20249081	110841.2578	2.619999886	6.605000019	0.500526316	0.805894737	57763.15126	580.0084877	2.480000019	6.669000149
0.668786457	10.20235825	10.20235825	110859.8125	2.660000086	6.618999958	0.500526316	0.805894737	57768.14998	585.0072115	2.519999981	6.654999733
0.668844257	10.20253181	10.20253181	110875.9922	2.710000038	6.630000114	0.500526316	0.805894737	57773.14999	590.0072227	2.549999952	6.650000095
0.66890214	10.20249081	10.20249081	110869.8125	2.74000001	6.611000061	0.500526316	0.805894737	57778.15141	595.0086422	2.579999924	6.631000042
0.668960005	10.20242882	10.20242882	110874.3672	2.779999971	6.631000042	0.500526316	0.805894737	57783.14988	600.0071155	2.619999886	6.605000019
0.669017873	10.20245075	10.20245075	110872.8359	2.789999962	6.59100008	0.500526316	0.805894737	57788.1438	605.0010269	2.660000086	6.618999958
0.669075736	10.20250225	10.20250225	110868.5547	2.819999933	6.617000103	0.500526316	0.805894737	57793.14487	610.0021008	2.710000038	6.630000114
0.669133604	10.20256996	10.20256996	110874.0703	2.859999895	6.600999832	0.500526316	0.805894737	57798.14446	615.0016886	2.74000001	6.611000061
0.669191487	10.20253754	10.20253754	110875.5156	2.880000114	6.586999893	0.500526316	0.805894737	57803.14425	620.0014838	2.779999971	6.631000042
0.66924935	10.20255089	10.20255089	110887.625	2.889999867	6.550000191	0.500526316	0.805894737	57808.14361	625.0008384	2.789999962	6.59100008
0.669307229	10.20234203	10.20234203	110898.625	2.930000067	6.588999748	0.500526316	0.805894737	57813.14337	630.000599	2.819999933	6.617000103
0.669365098	10.20254707	10.20254707	110890.3672	2.950000048	6.600999832	0.500526316	0.805894737	57818.14443	635.0016643	2.859999895	6.600999832
0.669422959	10.20248604	10.20248604	110892.4141	2.970000029	6.587999821	0.500526316	0.805894737	57823.14381	640.0010362	2.880000114	6.586999893
0.669480836	10.20256805	10.20256805	110902.2422	3.009999991	6.568999767	0.500526316	0.805894737	57828.14461	645.0018422	2.889999867	6.550000191
0.669538752	10.2023859	10.2023859	110889.5156	3.049999952	6.545000076	0.500526316	0.805894737	57833.14443	650.0016634	2.930000067	6.588999748
0.669596635	10.2026329	10.2026329	110889.0234	3.079999924	6.543000221	0.500526316	0.805894737	57838.14363	655.0008624	2.950000048	6.600999832
0.669654483	10.20255756	10.20255756	110892.4453	3.119999886	6.592999935	0.500526316	0.805894737	57843.14421	660.0014438	2.970000029	6.587999821
0.66971234	10.20253372	10.20253372	110892.3906	3.150000095	6.611000061	0.500526316	0.805894737	57848.1482	665.0054294	3.009999991	6.568999767
0.669770215	10.20242214	10.20242214	110906.4688	3.180000067	6.59499979	0.500526316	0.805894737	57853.14924	670.0064688	3.049999952	6.545000076
0.669828098	10.20237637	10.20237637	110891.875	3.230000019	6.593999863	0.500526316	0.805894737	57858.14731	675.0045446	3.079999924	6.543000221
0.669885937	10.20247746	10.20247746	110916.8516	3.25	6.619999886	0.500526316	0.805894737	57863.14621	680.0034413	3.119999886	6.592999935
0.669943801	10.20240021	10.20240021	110924.3672	3.279999971	6.572000027	0.500526316	0.805894737	57868.14658	685.0038154	3.150000095	6.611000061
0.670001677	10.20243835	10.20243835	110914.8438	3.309999943	6.565999985	0.500526316	0.805894737	57873.14763	690.0048634	3.180000067	6.59499979
0.670059647	10.20254993	10.20254993	110926.4141	3.329999924	6.570000172	0.500526316	0.805894737	57878.14491	695.0021443	3.230000019	6.593999863
0.670117512	10.20259476	10.20259476	110921.0703	3.349999905	6.572999954	0.500526316	0.805894737	57883.14443	700.001663	3.25	6.619999886
0.670175391	10.20257759	10.20257759	110937.4297	3.369999886	6.592000008	0.500526316	0.805894737	57888.14488	705.0021062	3.279999971	6.572000027
0.670233184	10.20250988	10.20250988	110921.8906	3.380000114	6.605000019	0.500526316	0.805894737	57893.15346	710.0106883	3.309999943	6.565999985
0.670291027	10.20238018	10.20238018	110938.2891	3.400000095	6.578999996	0.500526316	0.805894737	57898.15303	715.0102589	3.329999924	6.570000172
0.670348949	10.20248699	10.20248699	110910.3203	3.420000076	6.538000107	0.500526316	0.805894737	57903.15381	720.011039	3.349999905	6.572999954
0.670406821	10.20236969	10.20236969	110932.6797	3.440000057	6.576000214	0.500526316	0.805894737	57908.1471	725.0043283	3.369999886	6.592000008
0.670464699	10.20250797	10.20250797	110932.3281	3.480000019	6.583000183	0.500526316	0.805894737	57913.1447	730.001929	3.380000114	6.605000019
0.670522566	10.20237637	10.20237637	110941	3.509999991	6.568999767	0.500526316	0.805894737	57918.14918	735.0064157	3.400000095	6.578999996
0.670580441	10.2024765	10.2024765	110938.75	3.519999981	6.56400013	0.500526316	0.805894737	57923.14933	740.0065565	3.420000076	6.538000107
0.670638298	10.20261478	10.20261478	110932.3984	3.559999943	6.540999889	0.500526316	0.805894737	57928.14998	745.0072157	3.440000057	6.576000214
