Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()						Time	Cum Time	Inlet	Outlet
0.612444882	10.20258045	10.20258045	116284.8359	2.849999905	4.249000073	0.500526316	0.805894737						52915.23781	255.0094186	4.249000073	2.849999905
0.612502828	10.20255661	10.20255661	116265.3281	2.839999914	4.250999928	0.500526316	0.805894737						52920.24435	260.015953	4.250999928	2.839999914
0.612560702	10.20247746	10.20247746	116265.9922	3.119999886	4.25699997	0.500526316	0.805894737						52925.24467	265.0162752	4.25699997	3.119999886
0.612618488	10.20268345	10.20268345	116259.3203	2.960000038	4.257999897	0.500526316	0.805894737						52930.23735	270.0089597	4.257999897	2.960000038
0.612676351	10.20260048	10.20260048	116267	2.670000076	4.260000229	0.500526316	0.805894737						52935.23675	275.0083574	4.260000229	2.670000076
0.612734236	10.20253086	10.20253086	116261.3516	2.690000057	4.284999847	0.500526316	0.805894737						52940.23797	280.0095782	4.284999847	2.690000057
0.612792114	10.20240593	10.20240593	116264.4688	2.589999914	4.282999992	0.500526316	0.805894737						52945.23868	285.0102893	4.282999992	2.589999914
0.612849972	10.20262337	10.20262337	116261.2813	2.440000057	4.275000095	0.500526316	0.805894737						52950.23756	290.0091686	4.275000095	2.440000057
0.612907859	10.20260715	10.20260715	116256.3594	2.529999971	4.268000126	0.500526316	0.805894737						52955.23898	295.0105882	4.268000126	2.529999971
0.612965718	10.2026453	10.2026453	116245.6875	2.25	4.277999878	0.500526316	0.805894737						52960.23804	300.0096403	4.277999878	2.25
0.613023593	10.20259857	10.20259857	116239.3594	2.400000095	4.285999775	0.500526316	0.805894737						52965.23841	305.0100144	4.285999775	2.400000095
0.613081478	10.20253849	10.20253849	116240.8984	2.650000095	4.288000107	0.500526316	0.805894737						52970.23972	310.0113216	4.288000107	2.650000095
0.613139342	10.20274353	10.20274353	116233.7188	2.889999867	4.289000034	0.500526316	0.805894737						52975.23917	315.0107798	4.289000034	2.889999867
0.613197231	10.20260715	10.20260715	116232.2891	2.710000038	4.300000191	0.500526316	0.805894737						52980.24074	320.0123462	4.300000191	2.710000038
0.613255105	10.20233822	10.20233822	116222.1328	3.139999867	4.324999809	0.500526316	0.805894737						52985.24105	325.0126512	4.324999809	3.139999867
0.613312972	10.20260048	10.20260048	116226.1094	2.819999933	4.318999767	0.500526316	0.805894737						52990.24074	330.0123427	4.318999767	2.819999933
0.613370842	10.20256805	10.20256805	116238	2.660000086	4.322000027	0.500526316	0.805894737						52995.24076	335.0123626	4.322000027	2.660000086
0.613428746	10.20245457	10.20245457	116229.4375	2.769999981	4.322999954	0.500526316	0.805894737						53000.24362	340.015225	4.322999954	2.769999981
0.613486611	10.20266247	10.20266247	116222.5938	3.009999991	4.368000031	0.500526316	0.805894737						53005.24319	345.0147955	4.368000031	3.009999991
0.613544529	10.20258617	10.20258617	116222.6797	2.960000038	4.369999886	0.500526316	0.805894737						53010.2473	350.0189021	4.369999886	2.960000038
0.613602398	10.20266247	10.20266247	116200.5547	2.690000057	4.375999928	0.500526316	0.805894737						53015.24719	355.0187923	4.375999928	2.690000057
0.613660222	10.20257568	10.20257568	116223.6953	2.480000019	4.374000073	0.500526316	0.805894737						53020.24321	360.0148118	4.374000073	2.480000019
0.613718106	10.20241737	10.20241737	116209.2734	2.630000114	4.374000073	0.500526316	0.805894737						53025.24432	365.015929	4.374000073	2.630000114
