Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()					Time	Cum Time	Inlet	Outlet
0.593898005	10.20250988	10.20250988	115515.9297	1.470000029	4.923999786	0.500526316	0.805894737					51312.78761	289.99642	4.923999786	1.470000029
0.593955877	10.20261669	10.20261669	115522.8828	1.389999986	4.896999836	0.500526316	0.805894737					51317.78779	294.9966	4.896999836	1.389999986
0.594013766	10.20273304	10.20273304	115525.8438	1.429999948	4.888999939	0.500526316	0.805894737					51322.78936	299.99817	4.888999939	1.429999948
0.594071583	10.20271683	10.20271683	115532.3047	1.419999957	4.874000073	0.500526316	0.805894737					51327.7848	304.99361	4.874000073	1.419999957
0.59412945	10.20249844	10.20249844	115537.9844	1.409999967	4.870999813	0.500526316	0.805894737					51332.78448	309.99329	4.870999813	1.409999967
0.594187312	10.20249081	10.20249081	115529.3984	1.389999986	4.874000073	0.500526316	0.805894737					51337.78371	314.99252	4.874000073	1.389999986
0.594245172	10.20261478	10.20261478	115563.2266	1.480000019	4.897999764	0.500526316	0.805894737					51342.78286	319.99167	4.897999764	1.480000019
0.594303108	10.20253563	10.20253563	115561.8047	1.5	4.900000095	0.500526316	0.805894737					51347.7885	324.99731	4.900000095	1.5
0.594360971	10.20256901	10.20256901	115556.0313	1.429999948	4.915999889	0.500526316	0.805894737					51352.7879	329.99671	4.915999889	1.429999948
0.594418837	10.20260429	10.20260429	115566.3203	1.399999976	4.988999844	0.500526316	0.805894737					51357.78748	334.99629	4.988999844	1.399999976
0.594476708	10.20249081	10.20249081	115569.5391	1.379999995	4.96600008	0.500526316	0.805894737					51362.78754	339.99635	4.96600008	1.379999995
0.594534582	10.20265865	10.20265865	115589.0313	1.399999976	4.987999916	0.500526316	0.805894737					51367.78784	344.99665	4.987999916	1.399999976
0.594592444	10.2026329	10.2026329	115589.4688	1.5	4.947999954	0.500526316	0.805894737					51372.78714	349.99595	4.947999954	1.5
0.594650322	10.20246315	10.20246315	115582.7578	1.429999948	4.914000034	0.500526316	0.805894737					51377.78782	354.99663	4.914000034	1.429999948
0.594708211	10.20261574	10.20261574	115591.3906	1.5	4.923999786	0.500526316	0.805894737					51382.7894	359.99821	4.923999786	1.5
0.594766077	10.2025795	10.2025795	115595.8516	1.549999952	4.980999947	0.500526316	0.805894737					51387.78902	364.99783	4.980999947	1.549999952
0.594823958	10.20266438	10.20266438	115605.25	1.669999957	4.97300005	0.500526316	0.805894737					51392.78993	369.99874	4.97300005	1.669999957
